code,name,reason,market_cap,nta_per_share
RMMC,River UK Micro Cap,no figures; already covered by another source,,
WINV,Worsley Investors,no figures; already covered by another source,,
CRWN,Albion Crown VCT,no figures; already covered by another source,,
AAEV,Albion Enterprise VCT,no figures; already covered by another source,,
AATG,Albion Technology & General VCT,no figures; already covered by another source,,
BFSP,Blackfinch Spring VCT,no figures; already covered by another source,,
BSC,British Smaller Companies VCT 2,no figures; already covered by another source,,
BSV,British Smaller Companies VCT,no figures; already covered by another source,,
CLC,Calculus VCT,no figures; already covered by another source,,
FTF,Foresight Enterprise VCT,no figures; already covered by another source,,
FTV,Foresight VCT,no figures; already covered by another source,,
FVEN,Foresight Ventures VCT,no figures; already covered by another source,,
GHV2,Gresham House Income & Growth 2 VCT,no figures; already covered by another source,,
GHV1,Gresham House Income & Growth VCT,no figures; already covered by another source,,
MIG3,Maven Income and Growth VCT 3,no figures; already covered by another source,,
MAV4,Maven Income and Growth VCT 4,no figures; already covered by another source,,
MIG5,Maven Income and Growth VCT 5,no figures; already covered by another source,,
MIG1,Maven Income and Growth VCT,no figures; already covered by another source,,
MVCT,Molten Ventures VCT,no figures; already covered by another source,,
NTV,Northern 2 VCT,no figures; already covered by another source,,
NTN,Northern 3 VCT,no figures; already covered by another source,,
NVT,Northern Venture Trust,no figures; already covered by another source,,
OAP3,Octopus Apollo VCT,no figures; already covered by another source,,
OFG,Octopus Future Generations VCT,no figures; already covered by another source,,
OTV2,Octopus Titan VCT,no figures; already covered by another source,,
OXH,Oxford Technology 2 VCT - OT2 shares,no figures; already covered by another source,,
OT3,Oxford Technology 2 VCT - OT3 shares,no figures; already covered by another source,,
OT4,Oxford Technology 2 VCT - OT4 shares,no figures; already covered by another source,,
OT1,Oxford Technology 2 VCT - OT1 shares,no figures; already covered by another source,,
PEMB,Pembroke VCT B shares,no figures; already covered by another source,,
PGOO,ProVen Growth and Income VCT,no figures; already covered by another source,,
PVN,ProVen VCT,no figures; already covered by another source,,
PUAL,Puma Alpha VCT,no figures; already covered by another source,,
PU13,Puma VCT 13,no figures; already covered by another source,,
PGV,PXN Growth VCT,no figures; already covered by another source,,
HYG,Seneca Growth Capital VCT,no figures; already covered by another source,,
SVCT,Seneca Growth Capital VCT B shares,no figures; already covered by another source,,
TPV,Triple Point Venture VCT Venture shares,no figures; already covered by another source,,
MRV,Maven Renovar VCT,no figures; already covered by another source,,
OSEC,Octopus AIM VCT 2,no figures; already covered by another source,,
OOA,Octopus AIM VCT,no figures; already covered by another source,,
PAIM,Puma AIM VCT,no figures; already covered by another source,,
